Source,Target
100000,100001
100000,100004
100000,110000
100000,110100
100000,110200
100000,110300
100000,110400
100001,100002
100001,100000
100001,110001
100001,110101
100001,110201
100001,110301
100001,110401
100002,100003
100002,100001
100002,110002
100002,110102
100002,110202
100002,110302
100002,110402
100003,100004
100003,100002
100003,110003
100003,110103
100003,110203
100003,110303
100003,110403
100004,100000
100004,100003
100004,110004
100004,110104
100004,110204
100004,110304
100004,110404
100100,100101
100100,100104
100100,110000
100100,110101
100100,110202
100100,110303
100100,110404
100101,100102
100101,100100
100101,110001
100101,110102
100101,110203
100101,110304
100101,110400
100102,100103
100102,100101
100102,110002
100102,110103
100102,110204
100102,110300
100102,110401
100103,100104
100103,100102
100103,110003
100103,110104
100103,110200
100103,110301
100103,110402
100104,100100
100104,100103
100104,110004
100104,110100
100104,110201
100104,110302
100104,110403
100200,100201
100200,100204
100200,110000
100200,110102
100200,110204
100200,110301
100200,110403
100201,100202
100201,100200
100201,110001
100201,110103
100201,110200
100201,110302
100201,110404
100202,100203
100202,100201
100202,110002
100202,110104
100202,110201
100202,110303
100202,110400
100203,100204
100203,100202
100203,110003
100203,110100
100203,110202
100203,110304
100203,110401
100204,100200
100204,100203
100204,110004
100204,110101
100204,110203
100204,110300
100204,110402
100300,100301
100300,100304
100300,110000
100300,110103
100300,110201
100300,110304
100300,110402
100301,100302
100301,100300
100301,110001
100301,110104
100301,110202
100301,110300
100301,110403
100302,100303
100302,100301
100302,110002
100302,110100
100302,110203
100302,110301
100302,110404
100303,100304
100303,100302
100303,110003
100303,110101
100303,110204
100303,110302
100303,110400
100304,100300
100304,100303
100304,110004
100304,110102
100304,110200
100304,110303
100304,110401
100400,100401
100400,100404
100400,110000
100400,110104
100400,110203
100400,110302
100400,110401
100401,100402
100401,100400
100401,110001
100401,110100
100401,110204
100401,110303
100401,110402
100402,100403
100402,100401
100402,110002
100402,110101
100402,110200
100402,110304
100402,110403
100403,100404
100403,100402
100403,110003
100403,110102
100403,110201
100403,110300
100403,110404
100404,100400
100404,100403
100404,110004
100404,110103
100404,110202
100404,110301
100404,110400
110000,110002
110000,110003
110000,100000
110000,100100
110000,100200
110000,100300
110000,100400
110001,110003
110001,110004
110001,100001
110001,100101
110001,100201
110001,100301
110001,100401
110002,110004
110002,110000
110002,100002
110002,100102
110002,100202
110002,100302
110002,100402
110003,110000
110003,110001
110003,100003
110003,100103
110003,100203
110003,100303
110003,100403
110004,110001
110004,110002
110004,100004
110004,100104
110004,100204
110004,100304
110004,100404
110100,110102
110100,110103
110100,100000
110100,100104
110100,100203
110100,100302
110100,100401
110101,110103
110101,110104
110101,100001
110101,100100
110101,100204
110101,100303
110101,100402
110102,110104
110102,110100
110102,100002
110102,100101
110102,100200
110102,100304
110102,100403
110103,110100
110103,110101
110103,100003
110103,100102
110103,100201
110103,100300
110103,100404
110104,110101
110104,110102
110104,100004
110104,100103
110104,100202
110104,100301
110104,100400
110200,110202
110200,110203
110200,100000
110200,100103
110200,100201
110200,100304
110200,100402
110201,110203
110201,110204
110201,100001
110201,100104
110201,100202
110201,100300
110201,100403
110202,110204
110202,110200
110202,100002
110202,100100
110202,100203
110202,100301
110202,100404
110203,110200
110203,110201
110203,100003
110203,100101
110203,100204
110203,100302
110203,100400
110204,110201
110204,110202
110204,100004
110204,100102
110204,100200
110204,100303
110204,100401
110300,110302
110300,110303
110300,100000
110300,100102
110300,100204
110300,100301
110300,100403
110301,110303
110301,110304
110301,100001
110301,100103
110301,100200
110301,100302
110301,100404
110302,110304
110302,110300
110302,100002
110302,100104
110302,100201
110302,100303
110302,100400
110303,110300
110303,110301
110303,100003
110303,100100
110303,100202
110303,100304
110303,100401
110304,110301
110304,110302
110304,100004
110304,100101
110304,100203
110304,100300
110304,100402
110400,110402
110400,110403
110400,100000
110400,100101
110400,100202
110400,100303
110400,100404
110401,110403
110401,110404
110401,100001
110401,100102
110401,100203
110401,100304
110401,100400
110402,110404
110402,110400
110402,100002
110402,100103
110402,100204
110402,100300
110402,100401
110403,110400
110403,110401
110403,100003
110403,100104
110403,100200
110403,100301
110403,100402
110404,110401
110404,110402
110404,100004
110404,100100
110404,100201
110404,100302
110404,100403
