Source,Target
100000,100001
100000,100002
100000,100005
100000,100006
100000,110000
100000,110100
100000,110200
100000,110300
100000,110400
100000,110500
100000,110600
100001,100002
100001,100003
100001,100006
100001,100000
100001,110001
100001,110101
100001,110201
100001,110301
100001,110401
100001,110501
100001,110601
100002,100003
100002,100004
100002,100000
100002,100001
100002,110002
100002,110102
100002,110202
100002,110302
100002,110402
100002,110502
100002,110602
100003,100004
100003,100005
100003,100001
100003,100002
100003,110003
100003,110103
100003,110203
100003,110303
100003,110403
100003,110503
100003,110603
100004,100005
100004,100006
100004,100002
100004,100003
100004,110004
100004,110104
100004,110204
100004,110304
100004,110404
100004,110504
100004,110604
100005,100006
100005,100000
100005,100003
100005,100004
100005,110005
100005,110105
100005,110205
100005,110305
100005,110405
100005,110505
100005,110605
100006,100000
100006,100001
100006,100004
100006,100005
100006,110006
100006,110106
100006,110206
100006,110306
100006,110406
100006,110506
100006,110606
100100,100101
100100,100102
100100,100105
100100,100106
100100,110000
100100,110101
100100,110202
100100,110303
100100,110404
100100,110505
100100,110606
100101,100102
100101,100103
100101,100106
100101,100100
100101,110001
100101,110102
100101,110203
100101,110304
100101,110405
100101,110506
100101,110600
100102,100103
100102,100104
100102,100100
100102,100101
100102,110002
100102,110103
100102,110204
100102,110305
100102,110406
100102,110500
100102,110601
100103,100104
100103,100105
100103,100101
100103,100102
100103,110003
100103,110104
100103,110205
100103,110306
100103,110400
100103,110501
100103,110602
100104,100105
100104,100106
100104,100102
100104,100103
100104,110004
100104,110105
100104,110206
100104,110300
100104,110401
100104,110502
100104,110603
100105,100106
100105,100100
100105,100103
100105,100104
100105,110005
100105,110106
100105,110200
100105,110301
100105,110402
100105,110503
100105,110604
100106,100100
100106,100101
100106,100104
100106,100105
100106,110006
100106,110100
100106,110201
100106,110302
100106,110403
100106,110504
100106,110605
100200,100201
100200,100202
100200,100205
100200,100206
100200,110000
100200,110102
100200,110204
100200,110306
100200,110401
100200,110503
100200,110605
100201,100202
100201,100203
100201,100206
100201,100200
100201,110001
100201,110103
100201,110205
100201,110300
100201,110402
100201,110504
100201,110606
100202,100203
100202,100204
100202,100200
100202,100201
100202,110002
100202,110104
100202,110206
100202,110301
100202,110403
100202,110505
100202,110600
100203,100204
100203,100205
100203,100201
100203,100202
100203,110003
100203,110105
100203,110200
100203,110302
100203,110404
100203,110506
100203,110601
100204,100205
100204,100206
100204,100202
100204,100203
100204,110004
100204,110106
100204,110201
100204,110303
100204,110405
100204,110500
100204,110602
100205,100206
100205,100200
100205,100203
100205,100204
100205,110005
100205,110100
100205,110202
100205,110304
100205,110406
100205,110501
100205,110603
100206,100200
100206,100201
100206,100204
100206,100205
100206,110006
100206,110101
100206,110203
100206,110305
100206,110400
100206,110502
100206,110604
100300,100301
100300,100302
100300,100305
100300,100306
100300,110000
100300,110103
100300,110206
100300,110302
100300,110405
100300,110501
100300,110604
100301,100302
100301,100303
100301,100306
100301,100300
100301,110001
100301,110104
100301,110200
100301,110303
100301,110406
100301,110502
100301,110605
100302,100303
100302,100304
100302,100300
100302,100301
100302,110002
100302,110105
100302,110201
100302,110304
100302,110400
100302,110503
100302,110606
100303,100304
100303,100305
100303,100301
100303,100302
100303,110003
100303,110106
100303,110202
100303,110305
100303,110401
100303,110504
100303,110600
100304,100305
100304,100306
100304,100302
100304,100303
100304,110004
100304,110100
100304,110203
100304,110306
100304,110402
100304,110505
100304,110601
100305,100306
100305,100300
100305,100303
100305,100304
100305,110005
100305,110101
100305,110204
100305,110300
100305,110403
100305,110506
100305,110602
100306,100300
100306,100301
100306,100304
100306,100305
100306,110006
100306,110102
100306,110205
100306,110301
100306,110404
100306,110500
100306,110603
100400,100401
100400,100402
100400,100405
100400,100406
100400,110000
100400,110104
100400,110201
100400,110305
100400,110402
100400,110506
100400,110603
100401,100402
100401,100403
100401,100406
100401,100400
100401,110001
100401,110105
100401,110202
100401,110306
100401,110403
100401,110500
100401,110604
100402,100403
100402,100404
100402,100400
100402,100401
100402,110002
100402,110106
100402,110203
100402,110300
100402,110404
100402,110501
100402,110605
100403,100404
100403,100405
100403,100401
100403,100402
100403,110003
100403,110100
100403,110204
100403,110301
100403,110405
100403,110502
100403,110606
100404,100405
100404,100406
100404,100402
100404,100403
100404,110004
100404,110101
100404,110205
100404,110302
100404,110406
