Source,Target
100000,100001
100000,100004
100000,100005
100000,100006
100000,100007
100000,100009
100000,100013
100000,100016
100000,100020
100000,100022
100000,100023
100000,100024
100000,100025
100000,100028
100000,110000
100000,110100
100000,110200
100000,110300
100000,110400
100000,110500
100000,110600
100000,110700
100000,110800
100000,110900
100000,111000
100000,111100
100000,111200
100000,111300
100000,111400
100000,111500
100000,111600
100000,111700
100000,111800
100000,111900
100000,112000
100000,112100
100000,112200
100000,112300
100000,112400
100000,112500
100000,112600
100000,112700
100000,112800
100001,100002
100001,100005
100001,100006
100001,100007
100001,100008
100001,100010
100001,100014
100001,100017
100001,100021
100001,100023
100001,100024
100001,100025
100001,100026
100001,100000
100001,110001
100001,110101
100001,110201
100001,110301
100001,110401
100001,110501
100001,110601
100001,110701
100001,110801
100001,110901
100001,111001
100001,111101
100001,111201
100001,111301
100001,111401
100001,111501
100001,111601
100001,111701
100001,111801
100001,111901
100001,112001
100001,112101
100001,112201
100001,112301
100001,112401
100001,112501
100001,112601
100001,112701
100001,112801
100002,100003
100002,100006
100002,100007
100002,100008
100002,100009
100002,100011
100002,100015
100002,100018
100002,100022
100002,100024
100002,100025
100002,100026
100002,100027
100002,100001
100002,110002
100002,110102
100002,110202
100002,110302
100002,110402
100002,110502
100002,110602
100002,110702
100002,110802
100002,110902
100002,111002
100002,111102
100002,111202
100002,111302
100002,111402
100002,111502
100002,111602
100002,111702
100002,111802
100002,111902
100002,112002
100002,112102
100002,112202
100002,112302
100002,112402
100002,112502
100002,112602
100002,112702
100002,112802
100003,100004
100003,100007
100003,100008
100003,100009
100003,100010
100003,100012
100003,100016
100003,100019
100003,100023
100003,100025
100003,100026
100003,100027
100003,100028
100003,100002
100003,110003
100003,110103
100003,110203
100003,110303
100003,110403
100003,110503
100003,110603
100003,110703
100003,110803
100003,110903
100003,111003
100003,111103
100003,111203
100003,111303
100003,111403
100003,111503
100003,111603
100003,111703
100003,111803
100003,111903
100003,112003
100003,112103
100003,112203
