Source,Target
100000,100001
100000,100006
100000,100008
100000,100009
100000,100010
100000,100011
100000,100012
100000,100015
100000,100016
100000,100019
100000,100020
100000,100021
100000,100022
100000,100023
100000,100025
100000,100030
100000,110000
100000,110100
100000,110200
100000,110300
100000,110400
100000,110500
100000,110600
100000,110700
100000,110800
100000,110900
100000,111000
100000,111100
100000,111200
100000,111300
100000,111400
100000,111500
100000,111600
100000,111700
100000,111800
100000,111900
100000,112000
100000,112100
100000,112200
100000,112300
100000,112400
100000,112500
100000,112600
100000,112700
100000,112800
100000,112900
100000,113000
100001,100002
100001,100007
100001,100009
100001,100010
100001,100011
100001,100012
100001,100013
100001,100016
100001,100017
100001,100020
100001,100021
100001,100022
100001,100023
100001,100024
100001,100026
100001,100000
100001,110001
100001,110101
100001,110201
100001,110301
100001,110401
100001,110501
100001,110601
100001,110701
100001,110801
100001,110901
100001,111001
100001,111101
100001,111201
100001,111301
100001,111401
100001,111501
100001,111601
100001,111701
100001,111801
100001,111901
100001,112001
100001,112101
100001,112201
100001,112301
100001,112401
100001,112501
100001,112601
100001,112701
100001,112801
100001,112901
100001,113001
100002,100003
100002,100008
100002,100010
100002,100011
100002,100012
100002,100013
100002,100014
100002,100017
100002,100018
100002,100021
100002,100022
100002,100023
100002,100024
100002,100025
100002,100027
100002,100001
100002,110002
100002,110102
100002,110202
100002,110302
100002,110402
100002,110502
100002,110602
100002,110702
100002,110802
100002,110902
100002,111002
100002,111102
100002,111202
100002,111302
100002,111402
100002,111502
100002,111602
100002,111702
100002,111802
100002,111902
100002,112002
100002,112102
100002,112202
100002,112302
100002,112402
100002,112502
100002,112602
100002,112702
100002,112802
100002,112902
100002,113002
100003,100004
100003,100009
100003,100011
100003,100012
100003,100013
100003,100014
100003,100015
100003,100018
100003,100019
100003,100022
100003,100023
100003,100024
100003,100025
100003,100026
100003,100028
100003,100002
100003,110003
100003,110103
100003,110203
100003,110303
100003,110403
100003,110503
100003,110603
100003,110703
100003,110803
100003,110903
100003,111003
100003,111103
100003,111203
100003,111303
100003,111403
100003,111503
100003,111603
100003,111703
100003,111803
100003,111903
100003,112003
100003,112103
100003,112203
100003,112303
100003,112403
100003,112503
100003,112603
100003,112703
100003,112803
100003,112903
100003,113003
100004,100005
100004,100010
100004,100012
100004,100013
100004,100014
100004,100015
100004,100016
100004,100019
100004,100020
100004,100023
100004,100024
100004,100025
100004,100026
100004,100027
100004,100029
100004,100003
100004,110004
100004,110104
100004,110204
100004,110304
100004,110404
100004,110504
100004,110604
100004,110704
100004,110804
100004,110904
100004,111004
100004,111104
100004,111204
100004,111304
100004,111404
100004,111504
100004,111604
100004,111704
100004,111804
100004,111904
100004,112004
100004,112104
100004,112204
100004,112304
100004,112404
100004,112504
100004,112604
100004,112704
100004,112804
100004,112904
100004,113004
100005,100006
100005,100011
100005,100013
100005,100014
100005,100015
100005,100016
100005,100017
100005,100020
100005,100021
100005,100024
100005,100025
100005,100026
100005,100027
100005,100028
100005,100030
100005,100004
100005,110005
100005,110105
100005,110205
100005,110305
100005,110405
100005,110505
100005,110605
100005,110705
100005,110805
100005,110905
100005,111005
100005,111105
100005,111205
100005,111305
